,Unnamed: 0,TRACK_ID,FRAME,ID,track_id_unique,track_id_parent,pos_x,pos_y,dt1_n0_dx,dt1_n0_dy,dt2_n0_dx,dt2_n0_dy,dt4_n0_dx,dt4_n0_dy,dt8_n0_dx,dt8_n0_dy,dt12_n0_dx,dt12_n0_dy,dt16_n0_dx,dt16_n0_dy,track_id_unique_pred,track_id_parent_pred
0,0,0,0,5248,57,0,903.5392549791393,374.35624744694513,12.111255562663928,-1.938657605865103,17.10233126096705,-6.670592069612838,22.632052853444858,-14.388369279574022,46.55595323103944,-43.87515636175874,65.25079819447876,-103.83201021844246,123.26419152065986,-210.19074549795158,1,0
1,1,1,0,5249,14,0,1799.9888211922214,505.1089160188408,-1.2378211427162569,-2.0543566724902007,-4.993384057348977,0.7359468146410109,-10.257048419749026,7.804963565155276,4.758438962353465,17.225467538587054,-4.4328557276355705,25.089451002840967,-6.474786944902919,18.395180400713684,2,0
2,2,2,0,5250,54,0,1695.8453598073875,513.5174501944794,-0.5855623441420903,7.3370824563057795,-9.203520071871935,-0.08964060149014585,-19.489241822133177,-7.472096246079217,-14.04397802299809,-2.2766099473643635,-14.241388160150793,17.688629709177693,-11.24964522629284,45.783278148681916,3,0
3,3,3,0,5251,49,0,1102.982127175388,542.7171008667939,1.5981004031077646,6.5818788057349575,3.0504082134063992,11.675182180953925,7.353145526802107,18.378309629851056,2.2993653000219183,26.27407941505487,-5.6349402198291045,32.2131202251561,-8.549023311413519,31.62397579392313,4,0
4,4,238,0,5252,74,0,2006.1307277765561,545.6517337744107,32.88522752329459,-17.647602142080586,32.88522752329459,-39.64777429342763,14.713451365234961,-134.24965457647642,-4.563785906635985,-226.03300346789624,-33.180557253436746,-292.8122887243087,-15.244237925147214,-224.11839167589446,5,0
5,5,5,0,5253,89,0,1817.0177544346886,563.1623621034964,-4.900537556160089,0.7913324306617824,-1.6030305837150536,2.9638178722929065,-6.4214306253772975,8.572126071562481,-17.94343442623245,15.865392702545025,-30.394951236667794,17.030881611362815,-64.51839854254331,-25.40559902132657,6,0
6,6,6,0,5254,15,0,633.224256118701,634.6743371950729,26.566763357557765,3.2147727723659045,33.173143585842126,1.1263142790845675,46.5078273312547,-6.0839540901480405,143.64209518860545,-53.57346025018922,209.10794846787326,-84.66212601772452,269.5831163456944,-141.42972172638832,7,0
7,7,7,0,5255,67,0,530.184684690302,732.1342241335118,6.375787414405067,-0.43400322475213216,8.025411180180413,1.3599610891027396,8.56140492973202,2.8730101326276563,8.255765783518767,3.966942400089806,5.108154889832463,5.158371263941149,0.0,0.0,8,0
8,8,8,0,5256,4,0,813.6466378169638,753.6464333581176,30.002811056433192,-6.546113351021859,98.35362240964399,-21.212596331791588,203.5987925329789,-52.98797302898595,250.1062475716843,-40.510809561046464,267.22566393990303,-25.613314199806386,283.85205485330937,-27.958397905297947,9,0
9,9,9,0,5257,40,0,499.08709480416053,761.5515430139827,6.309730492132076,-2.6249747080081534,3.611389568923357,-4.088066565021337,-1.2553828946023486,-4.221003315540315,2.2052832772732245,-0.11654919800082553,0.9894751448609896,5.3167676346329245,5.982462108695303,13.88350092642952,10,0
10,10,10,0,5258,75,0,2039.0159552998505,914.0071521059652,0.0,-3.0000234751837525,0.0,-8.000062600489969,0.0,11.000086075673606,-53.04776340232525,13.70623154455302,-137.00154187588828,-51.118807064897965,-127.49943570351593,16.868071960422753,11,0
11,11,11,0,5259,1,0,1561.5527138814095,999.3838679404358,22.68724686365499,-13.514309875182676,43.29160622662676,-24.623080384121646,68.79667151008539,-40.97527648615233,102.4093874960677,-88.44401249769385,113.55938498364321,-108.76586324655227,102.50373992762863,-82.54884916705646,12,0
12,12,12,0,5260,24,0,1228.894324563438,1028.0668324080445,6.541037085792823,0.003573191769874029,10.62709243727113,1.3063541372368943,9.949089728607078,-1.642566674488762,1.6799391091196867,3.81105866929488,-1.0080396733653745,35.20735518640004,8.998270285157107,16.794922116728912,13,0
13,13,13,0,5261,86,0,1372.067248743634,1027.7549359537406,9.940124571072149,-2.56527134910084,6.25211380283622,-4.184606818441922,2.2240477616080625,-4.180531301384804,-1.3329572202997042,-0.33652752644911743,-20.204277970240806,16.719974945305008,-33.65970093093529,33.29045205205921,14,0
